,id,date,speed,date_year,date_month,date_day,date_weekday,date_hour,date_quarter,date_weekofyear,date_dayofyear,a/pm,hour_section,work_hour,holiday
0,0,2017-01-01 00:00:00,43.00293016,2017,1,1,6,0,1,52,1,0,4,4,1
1,1,2017-01-01 01:00:00,46.11869568,2017,1,1,6,1,1,52,1,0,1,1,1
2,2,2017-01-01 02:00:00,44.29415804,2017,1,1,6,2,1,52,1,0,1,1,1
3,3,2017-01-01 03:00:00,41.06746764,2017,1,1,6,3,1,52,1,0,1,1,1
4,4,2017-01-01 04:00:00,46.44865313,2017,1,1,6,4,1,52,1,0,1,1,1
5,5,2017-01-01 05:00:00,46.79776582,2017,1,1,6,5,1,52,1,0,1,1,1
6,6,2017-01-01 06:00:00,44.4049252,2017,1,1,6,6,1,52,1,0,1,1,1
7,7,2017-01-01 07:00:00,45.25589692,2017,1,1,6,7,1,52,1,0,2,2,1
8,8,2017-01-01 08:00:00,45.68085866,2017,1,1,6,8,1,52,1,0,2,2,1
9,9,2017-01-01 09:00:00,48.43567634,2017,1,1,6,9,1,52,1,0,2,2,1
10,10,2017-01-01 10:00:00,49.4570539,2017,1,1,6,10,1,52,1,0,2,2,1
11,11,2017-01-01 11:00:00,41.968518599999996,2017,1,1,6,11,1,52,1,0,2,2,1
12,12,2017-01-01 12:00:00,42.72473472,2017,1,1,6,12,1,52,1,1,2,2,1
13,13,2017-01-01 13:00:00,47.93645857,2017,1,1,6,13,1,52,1,1,3,3,1
14,14,2017-01-01 14:00:00,45.97188063,2017,1,1,6,14,1,52,1,1,3,3,1
15,15,2017-01-01 15:00:00,41.35986149,2017,1,1,6,15,1,52,1,1,3,3,1
16,16,2017-01-01 16:00:00,43.86803313,2017,1,1,6,16,1,52,1,1,3,3,1
17,17,2017-01-01 17:00:00,47.61554073,2017,1,1,6,17,1,52,1,1,3,3,1
18,18,2017-01-01 18:00:00,38.35276019,2017,1,1,6,18,1,52,1,1,3,3,1
19,19,2017-01-01 19:00:00,47.26892837,2017,1,1,6,19,1,52,1,1,4,4,1
20,20,2017-01-01 20:00:00,46.44475569,2017,1,1,6,20,1,52,1,1,4,4,1
21,21,2017-01-01 21:00:00,41.981908399999995,2017,1,1,6,21,1,52,1,1,4,4,1
22,22,2017-01-01 22:00:00,39.81723982,2017,1,1,6,22,1,52,1,1,4,4,1
23,23,2017-01-01 23:00:00,44.27782113,2017,1,1,6,23,1,52,1,1,4,4,1
24,24,2017-01-02 00:00:00,47.62156284,2017,1,2,0,0,1,1,2,0,4,4,1
25,25,2017-01-02 01:00:00,47.07016077,2017,1,2,0,1,1,1,2,0,1,1,1
26,26,2017-01-02 02:00:00,46.89492264,2017,1,2,0,2,1,1,2,0,1,1,1
27,27,2017-01-02 03:00:00,47.061394899999996,2017,1,2,0,3,1,1,2,0,1,1,1
28,28,2017-01-02 04:00:00,47.01615626,2017,1,2,0,4,1,1,2,0,1,1,1
29,29,2017-01-02 05:00:00,44.82629585,2017,1,2,0,5,1,1,2,0,1,1,1
30,30,2017-01-02 06:00:00,42.37291267,2017,1,2,0,6,1,1,2,0,1,1,1
31,31,2017-01-02 07:00:00,41.03940657,2017,1,2,0,7,1,1,2,0,2,2,1
32,32,2017-01-02 08:00:00,28.42375086,2017,1,2,0,8,1,1,2,0,2,2,1
33,33,2017-01-02 09:00:00,33.6611834,2017,1,2,0,9,1,1,2,0,2,2,1
34,34,2017-01-02 10:00:00,39.49302198,2017,1,2,0,10,1,1,2,0,2,2,1
35,35,2017-01-02 11:00:00,32.44394381,2017,1,2,0,11,1,1,2,0,2,2,1
36,36,2017-01-02 12:00:00,22.15993177,2017,1,2,0,12,1,1,2,1,2,2,1
37,37,2017-01-02 13:00:00,24.32208805,2017,1,2,0,13,1,1,2,1,3,3,1
38,38,2017-01-02 14:00:00,25.68121704,2017,1,2,0,14,1,1,2,1,3,3,1
39,39,2017-01-02 15:00:00,23.944490100000003,2017,1,2,0,15,1,1,2,1,3,3,1
40,40,2017-01-02 16:00:00,18.73019161,2017,1,2,0,16,1,1,2,1,3,3,1
41,41,2017-01-02 17:00:00,18.97422526,2017,1,2,0,17,1,1,2,1,3,3,1
42,42,2017-01-02 18:00:00,20.09936358,2017,1,2,0,18,1,1,2,1,3,3,1
43,43,2017-01-02 19:00:00,30.30038076,2017,1,2,0,19,1,1,2,1,4,4,1
44,44,2017-01-02 20:00:00,38.23933239,2017,1,2,0,20,1,1,2,1,4,4,1
45,45,2017-01-02 21:00:00,44.18686543,2017,1,2,0,21,1,1,2,1,4,4,1
46,46,2017-01-02 22:00:00,42.60273783,2017,1,2,0,22,1,1,2,1,4,4,1
47,47,2017-01-02 23:00:00,44.89217148,2017,1,2,0,23,1,1,2,1,4,4,1
48,48,2017-01-03 00:00:00,48.66582335,2017,1,3,1,0,1,1,3,0,4,4,0
49,49,2017-01-03 01:00:00,49.25749603,2017,1,3,1,1,1,1,3,0,1,1,0
50,50,2017-01-03 02:00:00,46.44221828,2017,1,3,1,2,1,1,3,0,1,1,0
51,51,2017-01-03 03:00:00,48.86047714,2017,1,3,1,3,1,1,3,0,1,1,0
52,52,2017-01-03 04:00:00,47.15122779,2017,1,3,1,4,1,1,3,0,1,1,0
53,53,2017-01-03 05:00:00,45.46067216,2017,1,3,1,5,1,1,3,0,1,1,0
54,54,2017-01-03 06:00:00,43.32843989,2017,1,3,1,6,1,1,3,0,1,1,0
55,55,2017-01-03 07:00:00,23.93352837,2017,1,3,1,7,1,1,3,0,2,2,0
56,56,2017-01-03 08:00:00,16.92674997,2017,1,3,1,8,1,1,3,0,2,2,0
57,57,2017-01-03 09:00:00,19.09222538,2017,1,3,1,9,1,1,3,0,2,2,0
58,58,2017-01-03 10:00:00,33.11256658,2017,1,3,1,10,1,1,3,0,2,2,0
59,59,2017-01-03 11:00:00,19.44291389,2017,1,3,1,11,1,1,3,0,2,2,0
60,60,2017-01-03 12:00:00,29.79058532,2017,1,3,1,12,1,1,3,1,2,2,0
61,61,2017-01-03 13:00:00,30.78994075,2017,1,3,1,13,1,1,3,1,3,3,0
62,62,2017-01-03 14:00:00,20.213874899999997,2017,1,3,1,14,1,1,3,1,3,3,0
63,63,2017-01-03 15:00:00,18.05015491,2017,1,3,1,15,1,1,3,1,3,3,0
64,64,2017-01-03 16:00:00,23.04990915,2017,1,3,1,16,1,1,3,1,3,3,0
65,65,2017-01-03 17:00:00,20.7917376,2017,1,3,1,17,1,1,3,1,3,3,0
66,66,2017-01-03 18:00:00,14.15768031,2017,1,3,1,18,1,1,3,1,3,3,0
67,67,2017-01-03 19:00:00,24.53891079,2017,1,3,1,19,1,1,3,1,4,4,0
68,68,2017-01-03 20:00:00,37.97752767,2017,1,3,1,20,1,1,3,1,4,4,0
69,69,2017-01-03 21:00:00,45.28052513,2017,1,3,1,21,1,1,3,1,4,4,0
70,70,2017-01-03 22:00:00,43.53418423,2017,1,3,1,22,1,1,3,1,4,4,0
71,71,2017-01-03 23:00:00,47.21748539,2017,1,3,1,23,1,1,3,1,4,4,0
72,72,2017-01-04 00:00:00,48.15083185,2017,1,4,2,0,1,1,4,0,4,4,0
73,73,2017-01-04 01:00:00,48.88211979,2017,1,4,2,1,1,1,4,0,1,1,0
74,74,2017-01-04 02:00:00,48.57938307,2017,1,4,2,2,1,1,4,0,1,1,0
75,75,2017-01-04 03:00:00,49.31266229,2017,1,4,2,3,1,1,4,0,1,1,0
76,76,2017-01-04 04:00:00,48.53270165,2017,1,4,2,4,1,1,4,0,1,1,0
77,77,2017-01-04 05:00:00,47.82392182,2017,1,4,2,5,1,1,4,0,1,1,0
78,78,2017-01-04 06:00:00,44.23551564,2017,1,4,2,6,1,1,4,0,1,1,0
79,79,2017-01-04 07:00:00,33.12359077,2017,1,4,2,7,1,1,4,0,2,2,0
80,80,2017-01-04 08:00:00,15.84481526,2017,1,4,2,8,1,1,4,0,2,2,0
81,81,2017-01-04 09:00:00,17.64144179,2017,1,4,2,9,1,1,4,0,2,2,0
82,82,2017-01-04 10:00:00,35.16115116,2017,1,4,2,10,1,1,4,0,2,2,0
83,83,2017-01-04 11:00:00,22.56581734,2017,1,4,2,11,1,1,4,0,2,2,0
84,84,2017-01-04 12:00:00,21.0637633,2017,1,4,2,12,1,1,4,1,2,2,0
85,85,2017-01-04 13:00:00,22.21272986,2017,1,4,2,13,1,1,4,1,3,3,0
86,86,2017-01-04 14:00:00,18.82801387,2017,1,4,2,14,1,1,4,1,3,3,0
87,87,2017-01-04 15:00:00,25.66608147,2017,1,4,2,15,1,1,4,1,3,3,0
88,88,2017-01-04 16:00:00,20.4252902,2017,1,4,2,16,1,1,4,1,3,3,0
89,89,2017-01-04 17:00:00,14.05252592,2017,1,4,2,17,1,1,4,1,3,3,0
90,90,2017-01-04 18:00:00,9.147401141,2017,1,4,2,18,1,1,4,1,3,3,0
91,91,2017-01-04 19:00:00,19.02442385,2017,1,4,2,19,1,1,4,1,4,4,0
92,92,2017-01-04 20:00:00,38.24235869,2017,1,4,2,20,1,1,4,1,4,4,0
93,93,2017-01-04 21:00:00,45.15144992,2017,1,4,2,21,1,1,4,1,4,4,0
94,94,2017-01-04 22:00:00,43.42681956,2017,1,4,2,22,1,1,4,1,4,4,0
95,95,2017-01-04 23:00:00,46.23516395,2017,1,4,2,23,1,1,4,1,4,4,0
96,96,2017-01-05 00:00:00,47.62054959,2017,1,5,3,0,1,1,5,0,4,4,0
